Timestamp,Age (Complete),Gender,Are you employed,Do you invest the money earned or saved or received from family (if not employed currently) ?,Where do you invest? (Select all the apply),Do you get paid in ESOPs (employee stock ownership plan as a part of your CTC)?,"City of work (Write like this - Example: Pune, Maharashtra, India)","Home town (Write like this - Example: Pune, Maharashtra, India)"
4/3/2024 9:21:25,57 years Nagpur Maharashtra India ,Female,No,Yes,Unit Linked Insurance Plans,No,Nagpur Maharashtra India ,Nagpur Maharashtra India 
4/3/2024 10:29:13,25,Female,Yes,Yes,Mutual Fund,No,"Bengaluru, Karnataka ","Nagpur, Maharashtra "
4/3/2024 11:43:54,27,Female,Yes,Yes,"Stocks, Public Provident Fund",No,"Mumbai, Maharashtra ","Nagpur, Maharashtra "
4/3/2024 11:58:45,53,Male,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Bonds, Certificate of Deposit, Fixed Deposit",Yes,Bangalore,Kota
4/3/2024 12:42:33,53,Female,No,No,Stocks,Yes,"Nagpur, Maharashtra India ","Nagpur, Maharashtra, India "
4/4/2024 1:49:39,52,Female,Yes,Yes,"Mutual Fund, Fixed Deposit",No,"Nagpur, Maharashtra,India","Durgapur,west Bengal, India "
4/4/2024 1:51:13,52,Female,Yes,Yes,"Mutual Fund, Fixed Deposit",No,"Nagpur, Maharashtra, India ","Durgapur, west bengal, India "
4/4/2024 23:19:55,26,Female,Yes,Yes,Mutual Fund,No,Gurgaon ,Nagpur
4/5/2024 22:49:33,35,Female,Yes,No,I do not invest,No,Bangalore,Bangalore
4/5/2024 22:53:47,35,Female,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Bonds, Fixed Deposit, Public Provident Fund, National Pensions System",No,"Kolkata, West Bengal, India","Kolkata, West Bengal, India"
4/6/2024 0:22:59,37years,Female,Student (earning via internship or a part time job),No,I do not invest,No,India,Mahendergarh
4/6/2024 7:28:13,34,Female,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Public Provident Fund",No,Mumbai,Kolkata 
4/6/2024 8:47:11,27,Male,Yes,Yes,"Stocks, Mutual Fund, Real Estate, Gold/Silver/Platinum, Bonds, Fixed Deposit, Public Provident Fund, National Pensions System",No,Nagpur ,Nagpur 
4/7/2024 6:53:54,24,Female,Yes,No,I do not invest,No,Pune ,"Jamshedpur, jharkhand "
4/8/2024 8:30:42,28,Male,Yes,Yes,"Stocks, Mutual Fund",No,Pune,Nagpur
4/16/2024 18:59:19,27,Male,Yes,Yes,"Stocks, Mutual Fund, Public Provident Fund",No,Pune,"Sinnar, Nashik maharashtra"
5/25/2024 16:28:01,23,Male,No,Yes,"Stocks, Derivatives, crypto",No,Surat,Surat
